,price_close,price_open,price_high,price_low,time_close,time_open,trades_count,volume_traded,request_type,symbol_id,period_id,time_start,limit
1073,340.81,340.09,340.81,338.79,2017-10-14T06:00:00.0000000Z,2017-10-14T05:00:00.0000000Z,186,285.05351989,ohlcv,GEMINI_SPOT_ETH_USD,1HRS,2017-08-29T10:23:14,100000
1074,341.05,340.81,341.29,340.43,2017-10-14T07:00:00.0000000Z,2017-10-14T06:00:00.0000000Z,223,558.98632314,ohlcv,GEMINI_SPOT_ETH_USD,1HRS,2017-08-29T10:23:14,100000
1075,344.1,341.05,344.1,341.05,2017-10-14T08:00:00.0000000Z,2017-10-14T07:00:00.0000000Z,323,1818.43068892,ohlcv,GEMINI_SPOT_ETH_USD,1HRS,2017-08-29T10:23:14,100000
1076,345.29,344.09,345.3,343.73,2017-10-14T09:00:00.0000000Z,2017-10-14T08:00:00.0000000Z,323,952.72531791,ohlcv,GEMINI_SPOT_ETH_USD,1HRS,2017-08-29T10:23:14,100000
1077,345.01,346.0,346.0,344.66,2017-10-14T10:00:00.0000000Z,2017-10-14T09:00:00.0000000Z,178,510.47337099,ohlcv,GEMINI_SPOT_ETH_USD,1HRS,2017-08-29T10:23:14,100000
1078,341.44,345.01,345.05,341.43,2017-10-14T11:00:00.0000000Z,2017-10-14T10:00:00.0000000Z,129,666.856194,ohlcv,GEMINI_SPOT_ETH_USD,1HRS,2017-08-29T10:23:14,100000
1079,339.06,341.44,341.88,336.46,2017-10-14T12:00:00.0000000Z,2017-10-14T11:00:00.0000000Z,518,1269.31085648,ohlcv,GEMINI_SPOT_ETH_USD,1HRS,2017-08-29T10:23:14,100000
1080,338.78,338.5,339.9,337.32,2017-10-14T13:00:00.0000000Z,2017-10-14T12:00:00.0000000Z,174,358.19773749,ohlcv,GEMINI_SPOT_ETH_USD,1HRS,2017-08-29T10:23:14,100000
1081,340.84,338.81,341.17,338.81,2017-10-14T14:00:00.0000000Z,2017-10-14T13:00:00.0000000Z,438,378.21838536,ohlcv,GEMINI_SPOT_ETH_USD,1HRS,2017-08-29T10:23:14,100000
1082,340.58,340.84,341.33,340.3,2017-10-14T15:00:00.0000000Z,2017-10-14T14:00:00.0000000Z,90,636.84529646,ohlcv,GEMINI_SPOT_ETH_USD,1HRS,2017-08-29T10:23:14,100000
